genres,keywords,original_language,original_title,korean_title,kr_rating,popularity,production_countries,release_date,spoken_languages,vote_average,vote_count
"['Drama', 'Science Fiction']","['future', 'metropolis', 'class society', 'man vs machine', 'underground world', 'tower of babel', 'based on novel or book', 'inventor', 'dystopia', 'delirium', 'mad scientist', 'prophet', 'steampunk', 'grim reaper', 'robot', 'destruction', 'silent film', 'expressionism', 'seven deadly sins', 'depravity', 'mob justice', 'downtrodden', 'saviour', 'social unrest', 'german expressionism', 'mediator']",de,Metropolis,메트로폴리스,,129.015,['Germany'],1927-02-06,['No Language'],8.137,2626
"['Action', 'Crime']","['martial arts', 'japan', 'kung fu', 'showdown', 'coma', 'sword', 'asia', 'yakuza', 'bride', 'sword fight', 'revenge', 'vigilante', 'female yakuza', 'animated scene', 'wedding', 'samurai sword', 'eye patch', 'retribution']",en,Kill Bill: Vol. 1,킬 빌: 1부,18,70.756,['United States of America'],2003-10-10,"['English', '日本語', 'Français']",7.971,16921
"['Drama', 'War']","['california', 'gulf war', 'saudi arabia', 'petrol', 'marine corps', 'kuwait', 'based on memoir or autobiography', 'u.s. marine', 'anti war', 'desert storm']",en,Jarhead,자헤드: 그들만의 전쟁,,48.869,"['United Kingdom', 'United States of America']",2005-11-04,"['English', 'Español', 'العربية', 'Latin']",6.651,2770
"['Drama', 'Music', 'Romance']","['london, england', 'concert', ""rock 'n' roll"", 'sexuality', 'orgasm', 'cocaine', 'blow job', 'man woman relationship', 'condom', 'love', 'sexual fantasy', 'pubic hair', 'breast', 'ejaculation', 'american', 'couple', 'desire', 'sexual desire', 'cunnilingus', 'naked', 'exchange student', 'rock concert', 'british man', 'nude', 'drug', 'small tits', 'woman tied to a bed', 'sex', 'sexual', 'vulva', 'rock', 'unsimulated sex', 'intense', 'tied to a bed', 'erect penis', 'small breasts']",en,9 Songs,나인 송즈,청소년 관람불가,45.774,['United Kingdom'],2004-07-16,['English'],5.609,501
"['Drama', 'War']","['guerrilla warfare', 'epic', 'vietnam war', 'journalist', 'mission', 'vietnam', 'vietcong', 'central intelligence agency (cia)', 'cambodia', 'army', 'drug abuse', 'based on novel or book', 'secret mission', 'insanity', 'surrealism', 'tribe', 'green beret', 'jungle', 'descent into madness', 'brutality', 'riverboat', 'military', 'anti war']",en,Apocalypse Now,지옥의 묵시록,18,64.095,['United States of America'],1979-08-15,"['', 'English', 'Français', 'Tiếng Việt']",8.284,7942
"['Animation', 'Family', 'Comedy', 'Science Fiction']","['alien', 'madcap comedy', 'lost', 'short film']",en,Puppy,,,28.09,['United States of America'],2013-12-10,['No Language'],7.139,212
"['Animation', 'Comedy', 'Family']","['garbage', 'pollution', 'quarantine', 'environmental protection agency', 'parent child relationship', 'dysfunctional family', 'dysfunctional marriage', 'ecology', 'first love', 'duringcreditsstinger', 'based on tv series', 'lighthearted']",en,The Simpsons Movie,심슨 가족: 더 무비,12,76.761,['United States of America'],2007-07-25,['English'],7.007,7760
"['Drama', 'Thriller']","['daughter', 'secret love', 'homeless person', 'mexico city, mexico', 'money', 'dog fighting', 'dog', 'nonlinear timeline', 'multiple storylines', 'new mexican cinema']",es,Amores perros,아모레스 페로스,18,42.77,['Mexico'],2000-06-16,['Español'],7.636,2506
"['Science Fiction', 'Horror']","['businessman', 'prison cell', 'prison escape', 'corporate world', 'management', 'near future', 'grist mill']",en,The Mill,더 밀,15,45.046,['United States of America'],2023-10-09,['English'],5.911,56
"['Science Fiction', 'Thriller', 'Mystery']","['biological weapon', 'philadelphia, pennsylvania', 'schizophrenia', 'stockholm syndrome', 'airplane', 'underground', 'insanity', 'asylum', 'paranoia', 'prison cell', 'dystopia', 'pimp', 'lion', 'post-apocalyptic future', 'time travel', 'florida keys', 'mental breakdown', 'past', 'dormitory', 'insane asylum', 'cockroach', 'volunteer', 'drug use', 'flashback', 'remake', 'psychiatric hospital', 'jail', 'mental institution', 'alternate history', 'disease', 'lethal virus', 'paradox', 'psychiatrist', 'monkey', 'epidemic', 'trapped', 'falling down stairs', 'street life', 'nonlinear timeline', 'medical research', 'tooth', 'pantyhose', 'gas mask', 'psychosis', ""child's point of view"", 'subterranean', 'virus', 'recurring dream', '1990s', 'reflective', 'escaped animal', 'future noir', '2030s', 'cassandra syndrome', 'bullet', 'endless loop', 'stream', 'vivisection', 'nude pantyhose', 'microbiologist', 'real movie shown in fictional situation', 'kick in face', 'eating spider', 'reference to houdini', 'abandoned theater', 'tied to a bed', 'psychiatric care', 'hiding in a barn', 'reference to cassandra', 'biblical quote', 'person in a car trunk', 'watching a movie', 'world war one', 'lab animal', 'cassandra complex']",en,Twelve Monkeys,12 몽키즈,15,50.622,['United States of America'],1995-12-29,"['English', 'Français']",7.604,8084
